Condition_Order,Condition,Model_Order,Model,Model_Label,Configuration_Order,Configuration,Number_of_Predictors,CV_Accuracy_Mean,CV_Accuracy_SD,CV_Macro_Precision_Mean,CV_Macro_Precision_SD,CV_Macro_Recall_Mean,CV_Macro_Recall_SD,CV_Macro_F1_Mean,CV_Macro_F1_SD,CV_Train_Macro_F1_Mean,Number_of_Validation_Scores
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,0,ATTD & PBC & SN,32,0.8558787878787879,0.024219777838982468,0.82415486550885,0.03059151973615215,0.806271207064386,0.046925676409063796,0.8111725265156308,0.037304067745820166,0.9256589686857266,25
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,1,ATTD & PBC,28,0.8485034965034964,0.034960305507646755,0.8157932038762448,0.04624384829863864,0.7957422472535113,0.05558899839591054,0.8010877015105935,0.049042253928159994,0.9005216109367323,25
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,2,ATTD & SN,28,0.85586013986014,0.02796354805417585,0.8336153815670176,0.04131783715272239,0.7907253858990404,0.04370020692766686,0.8051681670369893,0.03893476927387699,0.8841252091830962,25
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,3,PBC & SN,28,0.8614452214452215,0.030507041430355448,0.8336098043267351,0.04326904451727533,0.815719823390349,0.04077053124508866,0.8205928353930334,0.037056923543282556,0.9197718123409011,25
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,4,ATTD,24,0.8497156177156178,0.031800717219981,0.8229330831887037,0.05010161965561208,0.7852174593241551,0.04161178386351928,0.7987100487269287,0.042642119521628115,0.8612716210540161,25
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,5,PBC,24,0.8497342657342658,0.0358305846808569,0.815970194171118,0.047295526118257165,0.8009560561813379,0.04768195089049782,0.8052911424876795,0.04606254915860038,0.8905796640706647,25
0,Original imbalanced class distribution,0,AdaBoost,AdaBoost,6,SN,24,0.8294638694638694,0.029794331621855612,0.8022021272681955,0.04589656935533431,0.744774892226394,0.0480227287044847,0.7619320884233283,0.04711293873849519,0.8600563150055774,25
0,Original imbalanced class distribution,1,DT,DT,0,ATTD & PBC & SN,32,0.825874125874126,0.04160384035492558,0.7857880457693085,0.05424029634709638,0.7662738144903352,0.05143803275505431,0.7727020332769423,0.051563176238158225,0.8321878286569713,25
0,Original imbalanced class distribution,1,DT,DT,1,ATTD & PBC,28,0.8295664335664337,0.041873558042052714,0.7907780462978218,0.053844637784087,0.7708837435683493,0.0527989814759561,0.7772950297593116,0.052537264579082435,0.8321309281372703,25
0,Original imbalanced class distribution,1,DT,DT,2,ATTD & SN,28,0.8202797202797203,0.034616067427514795,0.7803029262196336,0.04992798022198139,0.748550618829092,0.05581648702977589,0.7579991466496021,0.05202722299676861,0.8138324687310272,25
0,Original imbalanced class distribution,1,DT,DT,3,PBC & SN,28,0.8074685314685316,0.04186617656253734,0.7669575801223095,0.05373754602452214,0.7489127033792241,0.0681368072251843,0.7475852308380169,0.06150081180460844,0.8223953816859995,25
0,Original imbalanced class distribution,1,DT,DT,4,ATTD,24,0.8055664335664336,0.0357118880997161,0.7715258200733557,0.0613548851313795,0.705030941454596,0.07180362282560157,0.7166127761162104,0.07444998891059905,0.7911166767207952,25
0,Original imbalanced class distribution,1,DT,DT,5,PBC,24,0.8234125874125874,0.040289867495065385,0.7817199020636116,0.05016517273446989,0.775196773744959,0.05949526201190274,0.7734840373840274,0.05413355279826169,0.831464960581591,25
0,Original imbalanced class distribution,1,DT,DT,6,SN,24,0.79811655011655,0.02885271861444614,0.7791025595281704,0.05724549247565467,0.6893118133778333,0.06149780078268527,0.7010817224013983,0.05671727824516158,0.7658504441820218,25
0,Original imbalanced class distribution,2,GB,GB,0,ATTD & PBC & SN,32,0.8491748251748252,0.029423601174634814,0.8186574621137944,0.042740085543369805,0.7973993533583646,0.045277448540095924,0.8027387282935031,0.04036297209656397,0.9806443544812979,25
0,Original imbalanced class distribution,2,GB,GB,1,ATTD & PBC,28,0.8503682983682984,0.031024505801483034,0.8137520768869563,0.0390432841344007,0.805991343345849,0.04253428441871578,0.8080034242339128,0.03946513087791935,0.9676194510189663,25
0,Original imbalanced class distribution,2,GB,GB,2,ATTD & SN,28,0.8417622377622378,0.035789908279845774,0.8092301842490822,0.049220911266807,0.7836439646780698,0.054565594763318015,0.7906900956215038,0.050198784201899674,0.956302844333162,25
0,Original imbalanced class distribution,2,GB,GB,3,PBC & SN,28,0.8491655011655013,0.03711980039251667,0.8158897015656186,0.051017967022675,0.8009934292866083,0.04969941462740926,0.804886822332336,0.046911695151030344,0.9702226063421435,25
0,Original imbalanced class distribution,2,GB,GB,4,ATTD,24,0.8257995337995339,0.033375507250350385,0.7854891755127088,0.04528715802345869,0.7609341538033653,0.04511877477673873,0.7696772308979283,0.044013612866352775,0.9251662147784543,25
0,Original imbalanced class distribution,2,GB,GB,5,PBC,24,0.8405501165501167,0.03217705215660004,0.8028541628376569,0.04353887625458391,0.792634890835767,0.04247871193886759,0.7949668798203949,0.0411682411340794,0.9439601760688971,25
0,Original imbalanced class distribution,2,GB,GB,6,SN,24,0.8411655011655012,0.040163812773297565,0.8092173740674824,0.0574377402775486,0.7797462105409539,0.05574711370875265,0.7892559194367338,0.052550146277076534,0.9426497384242469,25
0,Original imbalanced class distribution,3,KNN,KNN,0,ATTD & PBC & SN,32,0.8668904428904429,0.029539638788906534,0.848120835885194,0.04397785847973314,0.806016026978167,0.05031315314822721,0.8199157786279548,0.04521714592677718,0.8648141304639698,25
0,Original imbalanced class distribution,3,KNN,KNN,1,ATTD & PBC,28,0.8657529137529137,0.040620639198091196,0.8484356358304324,0.05957238347022016,0.8012652968989015,0.061677246199388885,0.8169808763259558,0.058938807929748815,0.8582052212937132,25
0,Original imbalanced class distribution,3,KNN,KNN,2,ATTD & SN,28,0.8453706293706295,0.03478485853742834,0.8377976029245938,0.052442455169396995,0.7500902169378391,0.06136008638650513,0.7742027490769732,0.06084859783498315,0.8250860919152865,25
0,Original imbalanced class distribution,3,KNN,KNN,3,PBC & SN,28,0.8497249417249416,0.0319674662509607,0.8243848681533982,0.05289556324601869,0.7841995202336253,0.04736500591343914,0.7976640976105874,0.04431229351238162,0.8526205013652174,25
0,Original imbalanced class distribution,3,KNN,KNN,4,ATTD,24,0.8417062937062938,0.035739361948568756,0.842593312244487,0.04814926086406767,0.7364492073425116,0.06352226069271542,0.76244837253241,0.0651833819981761,0.7979392021699497,25
0,Original imbalanced class distribution,3,KNN,KNN,5,PBC,24,0.8497342657342658,0.03502893182562447,0.830362400422397,0.054217092473024725,0.7766226880823252,0.05723020433545641,0.7926088933276302,0.05482008791306708,0.8289311167827303,25
0,Original imbalanced class distribution,3,KNN,KNN,6,SN,24,0.8232727272727274,0.030618098850911712,0.8179289473395371,0.057359694778099206,0.707899283827006,0.04645015893415883,0.7336697862166349,0.05097194230738659,0.7906268451889013,25
0,Original imbalanced class distribution,4,LR,LR,0,ATTD & PBC & SN,32,0.8491841491841491,0.03238076882615562,0.81825824197983,0.048582935694951715,0.8017709637046307,0.04286640871212151,0.8052343639315211,0.039338358385526725,0.8905295411339621,25
0,Original imbalanced class distribution,4,LR,LR,1,ATTD & PBC,28,0.84795337995338,0.03551104494388108,0.8202012052039107,0.05193075235541767,0.7870454387428729,0.0513201119410022,0.7974568508344848,0.047545457140421674,0.8624794923033356,25
0,Original imbalanced class distribution,4,LR,LR,2,ATTD & SN,28,0.8430675990675991,0.03677634899148095,0.8116671405914873,0.05326442547048225,0.7847564664163538,0.05346363753325431,0.7925060020560083,0.05102387182040281,0.8611953116350519,25
0,Original imbalanced class distribution,4,LR,LR,3,PBC & SN,28,0.8541072261072261,0.03002456381577557,0.8294597791840702,0.047301901193722365,0.8022223960506188,0.04386063892844078,0.8087039466334651,0.037705370093311256,0.8824178098138237,25
0,Original imbalanced class distribution,4,LR,LR,4,ATTD,24,0.8368671328671329,0.03384594065188078,0.8132423609803054,0.05452882258738979,0.7615274301209847,0.047369356113666335,0.7768042415303344,0.046197735998796896,0.8332843623845241,25
0,Original imbalanced class distribution,4,LR,LR,5,PBC,24,0.832009324009324,0.03628320074077164,0.7966454862368773,0.048780672309604284,0.7701281115282991,0.05466294271781725,0.7773357842830303,0.04959569742185233,0.8563127191431392,25
0,Original imbalanced class distribution,4,LR,LR,6,SN,24,0.8289137529137528,0.03492930450980711,0.7929932990461065,0.05166893577006244,0.7582027882074815,0.05395303005314582,0.7691816011958036,0.05224487323530304,0.8374805517772078,25
0,Original imbalanced class distribution,5,NB,NB,0,ATTD & PBC & SN,32,0.8816410256410258,0.027648657646964333,0.8573861169116196,0.03630505929326599,0.8409044291475456,0.04289351772201133,0.8461197955596377,0.03774486505462199,0.8562917532810556,25
0,Original imbalanced class distribution,5,NB,NB,1,ATTD & PBC,28,0.8761118881118882,0.02819006860670257,0.8504404896233397,0.038437239528097404,0.8329523014879711,0.041037150284849784,0.8389500531071649,0.03780630874146398,0.8451544574572091,25
