Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,ATTD & PBC & SN,32,0.8608 ± 0.0221,0.8275 ± 0.0296,0.8269 ± 0.0376,0.8235 ± 0.0291,25
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,ATTD & PBC,28,0.8534 ± 0.0325,0.8162 ± 0.0421,0.8250 ± 0.0427,0.8174 ± 0.0398,25
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,ATTD & SN,28,0.8534 ± 0.0329,0.8197 ± 0.0466,0.8091 ± 0.0457,0.8114 ± 0.0426,25
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,PBC & SN,28,0.8602 ± 0.0301,0.8276 ± 0.0395,0.8338 ± 0.0446,0.8254 ± 0.0369,25
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,ATTD,24,0.8283 ± 0.0328,0.7855 ± 0.0428,0.7877 ± 0.0405,0.7841 ± 0.0395,25
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,PBC,24,0.8565 ± 0.0301,0.8190 ± 0.0379,0.8351 ± 0.0441,0.8229 ± 0.0376,25
Synthetic Minority Over-sampling Technique (SMOTE),S-AdaBoost,SN,24,0.8350 ± 0.0327,0.7952 ± 0.0423,0.7936 ± 0.0451,0.7910 ± 0.0410,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,ATTD & PBC & SN,32,0.8105 ± 0.0492,0.7708 ± 0.0552,0.7700 ± 0.0600,0.7626 ± 0.0543,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,ATTD & PBC,28,0.8204 ± 0.0508,0.7825 ± 0.0547,0.7868 ± 0.0612,0.7769 ± 0.0567,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,ATTD & SN,28,0.8111 ± 0.0340,0.7767 ± 0.0525,0.7565 ± 0.0486,0.7555 ± 0.0406,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,PBC & SN,28,0.8160 ± 0.0373,0.7705 ± 0.0475,0.7677 ± 0.0569,0.7652 ± 0.0491,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,ATTD,24,0.7939 ± 0.0427,0.7552 ± 0.0426,0.7772 ± 0.0369,0.7555 ± 0.0400,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,PBC,24,0.8387 ± 0.0304,0.7992 ± 0.0389,0.8015 ± 0.0530,0.7959 ± 0.0418,25
Synthetic Minority Over-sampling Technique (SMOTE),S-DT,SN,24,0.7558 ± 0.0451,0.7204 ± 0.0456,0.7522 ± 0.0546,0.7184 ± 0.0466,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,ATTD & PBC & SN,32,0.8510 ± 0.0326,0.8173 ± 0.0431,0.8110 ± 0.0446,0.8100 ± 0.0419,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,ATTD & PBC,28,0.8504 ± 0.0336,0.8127 ± 0.0458,0.8138 ± 0.0442,0.8111 ± 0.0420,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,ATTD & SN,28,0.8449 ± 0.0356,0.8090 ± 0.0460,0.7946 ± 0.0504,0.7987 ± 0.0464,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,PBC & SN,28,0.8565 ± 0.0350,0.8212 ± 0.0468,0.8212 ± 0.0471,0.8186 ± 0.0440,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,ATTD,24,0.8172 ± 0.0324,0.7714 ± 0.0400,0.7745 ± 0.0477,0.7697 ± 0.0420,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,PBC,24,0.8448 ± 0.0267,0.8045 ± 0.0333,0.8148 ± 0.0320,0.8072 ± 0.0316,25
Synthetic Minority Over-sampling Technique (SMOTE),S-GB,SN,24,0.8406 ± 0.0406,0.8033 ± 0.0513,0.8012 ± 0.0466,0.7990 ± 0.0471,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,ATTD & PBC & SN,32,0.8418 ± 0.0346,0.8033 ± 0.0373,0.8375 ± 0.0406,0.8123 ± 0.0378,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,ATTD & PBC,28,0.8344 ± 0.0390,0.7959 ± 0.0408,0.8386 ± 0.0417,0.8072 ± 0.0420,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,ATTD & SN,28,0.8214 ± 0.0418,0.7807 ± 0.0463,0.8191 ± 0.0539,0.7902 ± 0.0480,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,PBC & SN,28,0.8221 ± 0.0400,0.7797 ± 0.0440,0.8183 ± 0.0525,0.7905 ± 0.0474,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,ATTD,24,0.7706 ± 0.0423,0.7293 ± 0.0409,0.7630 ± 0.0443,0.7341 ± 0.0430,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,PBC,24,0.8154 ± 0.0442,0.7747 ± 0.0457,0.8130 ± 0.0448,0.7847 ± 0.0471,25
Synthetic Minority Over-sampling Technique (SMOTE),S-KNN,SN,24,0.7570 ± 0.0479,0.7100 ± 0.0545,0.7441 ± 0.0633,0.7176 ± 0.0575,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,ATTD & PBC & SN,32,0.8437 ± 0.0383,0.8067 ± 0.0442,0.8260 ± 0.0431,0.8103 ± 0.0416,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,ATTD & PBC,28,0.8393 ± 0.0348,0.7997 ± 0.0407,0.8234 ± 0.0417,0.8059 ± 0.0389,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,ATTD & SN,28,0.8387 ± 0.0350,0.7988 ± 0.0406,0.8182 ± 0.0477,0.8029 ± 0.0427,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,PBC & SN,28,0.8504 ± 0.0380,0.8139 ± 0.0409,0.8364 ± 0.0462,0.8188 ± 0.0422,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,ATTD,24,0.8068 ± 0.0411,0.7640 ± 0.0430,0.7945 ± 0.0421,0.7717 ± 0.0433,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,PBC,24,0.8302 ± 0.0395,0.7894 ± 0.0426,0.8171 ± 0.0415,0.7971 ± 0.0425,25
Synthetic Minority Over-sampling Technique (SMOTE),S-LR,SN,24,0.8258 ± 0.0394,0.7840 ± 0.0440,0.8037 ± 0.0485,0.7883 ± 0.0457,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,ATTD & PBC & SN,32,0.8871 ± 0.0252,0.8679 ± 0.0327,0.8411 ± 0.0411,0.8511 ± 0.0362,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,ATTD & PBC,28,0.8767 ± 0.0321,0.8531 ± 0.0438,0.8305 ± 0.0430,0.8389 ± 0.0417,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,ATTD & SN,28,0.8650 ± 0.0307,0.8382 ± 0.0386,0.8124 ± 0.0504,0.8213 ± 0.0448,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,PBC & SN,28,0.8798 ± 0.0286,0.8592 ± 0.0401,0.8317 ± 0.0433,0.8415 ± 0.0395,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,ATTD,24,0.8552 ± 0.0349,0.8236 ± 0.0456,0.8029 ± 0.0506,0.8102 ± 0.0474,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,PBC,24,0.8718 ± 0.0318,0.8445 ± 0.0429,0.8292 ± 0.0455,0.8339 ± 0.0425,25
Synthetic Minority Over-sampling Technique (SMOTE),S-NB,SN,24,0.8398 ± 0.0400,0.8052 ± 0.0569,0.7812 ± 0.0539,0.7893 ± 0.0528,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,ATTD & PBC & SN,32,0.8822 ± 0.0307,0.8617 ± 0.0473,0.8433 ± 0.0421,0.8477 ± 0.0386,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,ATTD & PBC,28,0.8645 ± 0.0287,0.8335 ± 0.0393,0.8265 ± 0.0450,0.8265 ± 0.0375,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,ATTD & SN,28,0.8583 ± 0.0293,0.8284 ± 0.0426,0.8135 ± 0.0477,0.8164 ± 0.0385,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,PBC & SN,28,0.8651 ± 0.0274,0.8339 ± 0.0334,0.8226 ± 0.0521,0.8247 ± 0.0412,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,ATTD,24,0.8319 ± 0.0384,0.7897 ± 0.0494,0.7876 ± 0.0518,0.7864 ± 0.0487,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,PBC,24,0.8497 ± 0.0271,0.8130 ± 0.0338,0.8112 ± 0.0410,0.8091 ± 0.0347,25
Synthetic Minority Over-sampling Technique (SMOTE),S-RF,SN,24,0.8325 ± 0.0313,0.7915 ± 0.0385,0.7817 ± 0.0512,0.7831 ± 0.0442,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,ATTD & PBC & SN,32,0.8731 ± 0.0265,0.8391 ± 0.0350,0.8586 ± 0.0327,0.8447 ± 0.0300,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,ATTD & PBC,28,0.8485 ± 0.0292,0.8100 ± 0.0356,0.8241 ± 0.0377,0.8133 ± 0.0332,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,ATTD & SN,28,0.8547 ± 0.0265,0.8165 ± 0.0339,0.8244 ± 0.0405,0.8180 ± 0.0345,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,PBC & SN,28,0.8590 ± 0.0284,0.8231 ± 0.0348,0.8389 ± 0.0392,0.8264 ± 0.0333,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,ATTD,24,0.8221 ± 0.0352,0.7786 ± 0.0473,0.7814 ± 0.0507,0.7761 ± 0.0454,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,PBC,24,0.8326 ± 0.0353,0.7918 ± 0.0435,0.8060 ± 0.0483,0.7940 ± 0.0423,25
Synthetic Minority Over-sampling Technique (SMOTE),S-SVM,SN,24,0.8124 ± 0.0390,0.7665 ± 0.0469,0.7684 ± 0.0641,0.7613 ± 0.0576,25
