Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Original imbalanced class distribution,LR,SN,24,0.8289 ± 0.0349,0.7930 ± 0.0517,0.7582 ± 0.0540,0.7692 ± 0.0522,25
Original imbalanced class distribution,NB,ATTD & PBC & SN,32,0.8816 ± 0.0276,0.8574 ± 0.0363,0.8409 ± 0.0429,0.8461 ± 0.0377,25
Original imbalanced class distribution,NB,ATTD & PBC,28,0.8761 ± 0.0282,0.8504 ± 0.0384,0.8330 ± 0.0410,0.8390 ± 0.0378,25
Original imbalanced class distribution,NB,ATTD & SN,28,0.8706 ± 0.0298,0.8466 ± 0.0393,0.8177 ± 0.0475,0.8282 ± 0.0430,25
Original imbalanced class distribution,NB,PBC & SN,28,0.8761 ± 0.0289,0.8513 ± 0.0403,0.8321 ± 0.0448,0.8383 ± 0.0403,25
Original imbalanced class distribution,NB,ATTD,24,0.8638 ± 0.0343,0.8354 ± 0.0439,0.8118 ± 0.0514,0.8204 ± 0.0480,25
Original imbalanced class distribution,NB,PBC,24,0.8663 ± 0.0296,0.8365 ± 0.0399,0.8196 ± 0.0443,0.8257 ± 0.0413,25
Original imbalanced class distribution,NB,SN,24,0.8466 ± 0.0451,0.8152 ± 0.0646,0.7853 ± 0.0612,0.7961 ± 0.0610,25
Original imbalanced class distribution,RF,ATTD & PBC & SN,32,0.8816 ± 0.0305,0.8662 ± 0.0443,0.8314 ± 0.0427,0.8432 ± 0.0390,25
Original imbalanced class distribution,RF,ATTD & PBC,28,0.8663 ± 0.0365,0.8445 ± 0.0519,0.8118 ± 0.0506,0.8228 ± 0.0474,25
Original imbalanced class distribution,RF,ATTD & SN,28,0.8681 ± 0.0237,0.8520 ± 0.0384,0.8077 ± 0.0432,0.8218 ± 0.0355,25
Original imbalanced class distribution,RF,PBC & SN,28,0.8682 ± 0.0282,0.8500 ± 0.0436,0.8093 ± 0.0406,0.8234 ± 0.0376,25
Original imbalanced class distribution,RF,ATTD,24,0.8497 ± 0.0358,0.8237 ± 0.0475,0.7812 ± 0.0577,0.7952 ± 0.0538,25
Original imbalanced class distribution,RF,PBC,24,0.8584 ± 0.0394,0.8334 ± 0.0542,0.8021 ± 0.0581,0.8115 ± 0.0553,25
Original imbalanced class distribution,RF,SN,24,0.8497 ± 0.0391,0.8309 ± 0.0584,0.7750 ± 0.0534,0.7932 ± 0.0540,25
Original imbalanced class distribution,SVM,ATTD & PBC & SN,32,0.8810 ± 0.0277,0.8641 ± 0.0396,0.8310 ± 0.0497,0.8414 ± 0.0415,25
Original imbalanced class distribution,SVM,ATTD & PBC,28,0.8749 ± 0.0342,0.8586 ± 0.0458,0.8171 ± 0.0543,0.8312 ± 0.0490,25
Original imbalanced class distribution,SVM,ATTD & SN,28,0.8767 ± 0.0289,0.8653 ± 0.0403,0.8143 ± 0.0513,0.8313 ± 0.0447,25
Original imbalanced class distribution,SVM,PBC & SN,28,0.8681 ± 0.0290,0.8487 ± 0.0404,0.8086 ± 0.0498,0.8221 ± 0.0439,25
Original imbalanced class distribution,SVM,ATTD,24,0.8601 ± 0.0384,0.8482 ± 0.0532,0.7838 ± 0.0618,0.8040 ± 0.0590,25
Original imbalanced class distribution,SVM,PBC,24,0.8498 ± 0.0373,0.8225 ± 0.0512,0.7869 ± 0.0569,0.7981 ± 0.0538,25
Original imbalanced class distribution,SVM,SN,24,0.8503 ± 0.0348,0.8384 ± 0.0523,0.7648 ± 0.0575,0.7868 ± 0.0571,25
Random undersampling (RUS),U-AdaBoost,ATTD & PBC & SN,32,0.8454 ± 0.0352,0.8043 ± 0.0394,0.8383 ± 0.0432,0.8157 ± 0.0405,25
Random undersampling (RUS),U-AdaBoost,ATTD & PBC,28,0.8418 ± 0.0403,0.8019 ± 0.0428,0.8352 ± 0.0432,0.8121 ± 0.0440,25
Random undersampling (RUS),U-AdaBoost,ATTD & SN,28,0.8208 ± 0.0402,0.7772 ± 0.0419,0.8022 ± 0.0485,0.7843 ± 0.0445,25
